"name","description","url","latitude","longitude","address_1","address_2","city","state_province","postal_code","cluster_id","confidence","contributor"
Brigid Collins Family Support Center (Bellingham),"","","48.747147",-122.47559,"1231 n garden st,200","",bellingham,wa,"98225","9dd0ea15-bb60-4490-8bb8-cf8a4bcf79bc",0.40229207277297974,WithinReach
Sea Mar Community Health Centers,"Provides comprehensive medical, dental, family health planning and social services. Multilingual family health workers provide health advocacy and community resource education for limited English-speaking seniors. Provides chemical dependency treatment services. Outpatient behavioral health clinics provide individual and family counseling, youth anger management, as well as bilingual domestic violence survivor and chemical dependency support groups. Operates a combined Head Start/ECEAP preschool classroom. Provides WIC services.",https://www.seamar.org/,"","","4455 cordata parkway","",bellingham,wa,"98226","9fa335c3-a4a2-42ce-b335-a6f807389605",0.5145480683793318,Washington 211
Sea Mar Community Health Center (Bellingham),"",https://www.seamar.org/whatcom-medical-bellingham.html,"48.8017",-122.49683,"4455 cordata pkwy","",bellingham,wa,"98226","9fa335c3-a4a2-42ce-b335-a6f807389605",0.5145480683793318,WithinReach
North Sound Cooling Centers,Cooling center locations for North Sound Counties.,"","","","7506 kendall road","",maple falls,wa,"98266","9fcafec6-0a1b-4a37-b663-f94141aa58d0",0.5345239691969202,Washington 211
North Sound Cooling Centers,Cooling center locations for North Sound Counties.,"","","","8251 kendall road","",maple falls,wa,"98266","9fcafec6-0a1b-4a37-b663-f94141aa58d0",0.5345239691969202,Washington 211
Hope House,"Hope House is a multi-service center and collaborative effort between multiple non-profit agencies to provide clothing, housewares, emergency food,  hygiene, personal care, diapers, school supplies, flashlights, soaps and supplies for those in need.",https://www.assumption.org/hope-house.html,"","","207 kentucky street","",bellingham,wa,"98225",b80f2448-f3a0-48d0-856a-b38a3350de44,0.7021322846412659,Washington 211
Hope House,"","","48.757965",-122.47301,"207 kentucky st","",bellingham,wa,"98226",b80f2448-f3a0-48d0-856a-b38a3350de44,0.7021322846412659,WithinReach
Blaine Food Bank,Community food bank that offers food to anyone in need.,https://www.blainefoodbank.org,"","","500 c street","",blaine,wa,"98230",d7a5193d-3587-494d-8d44-8917801a9d11,0.6737469434738159,Washington 211
Blaine Food Bank,"This food bank serves residents of Blaine, Custer, Birch Bay & Semihamoo.",https://www.blainefoodbank.org/,"48.99955",-122.745895,"500 c st","",blaine,wa,"98230",d7a5193d-3587-494d-8d44-8917801a9d11,0.6737469434738159,WithinReach
Unity Care Northwest,"Offers affordable primary care, dental, behavioral health, and pharmacy services for children and adults in Whatcom County.",http://unitycarenw.org,"","","6060 portal way","",ferndale,wa,"98248",e737a6ed-f689-4ecc-9ee2-f9590bc690b3,0.4390388716889847,Washington 211
Unity Care NW (Ferndale Health Center),"","","48.861275",-122.58321,"6060 portal way","",ferndale,wa,"98248",e737a6ed-f689-4ecc-9ee2-f9590bc690b3,0.4390388716889847,WithinReach
Project Hope,"Assists individuals and families living with the Lynden area (Lynden School District boundaries) who are struggling with food insufficiency. Community Assistance Program helps community member with short-term, emergency assistance which may include utilities, rent, clothing, household goods, laundry, and fuel.",https://www.projecthopelynden.org,"","","205 south british columbia avenue",suite 105,lynden,wa,"98264",ec6fe008-b947-4764-9cc7-cd42f4c4a01d,0.5664694376755512,Washington 211
Project Hope,"",https://www.projecthopelynden.org/project-hope-food-bank/,"48.93826",-122.462715,"205 s british columbia ave","",lynden,wa,"98264",ec6fe008-b947-4764-9cc7-cd42f4c4a01d,0.5664694376755512,WithinReach
Lydia Place,The mission of Lydia Place is to disrupt the cycle of homelessness and promote sustained independence for current and future generations.,http://www.lydiaplace.org,"","","1701 gladstone street","",bellingham,wa,"98229",f5349763-2080-4814-b49f-f031712909e7,0.700122829588221,Washington 211
Lydia Place,"",https://lydiaplace.org/,"48.749203",-122.45303,"1701 gladstone street","",bellingham,wa,"98229",f5349763-2080-4814-b49f-f031712909e7,0.700122829588221,WithinReach
Bellingham Public Library,"Provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. It is a department of the City of Bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,"","","210 central avenue","",bellingham,wa,"98225",f8044f83-e323-4dfc-844e-850bde4aa389,0.7037930476001335,Washington 211
Bellingham Public Library,"","","48.754234",-122.478806,"210 central ave","",bellingham,wa,"98227",f8044f83-e323-4dfc-844e-850bde4aa389,0.7037930476001335,WithinReach
Nooksack Valley School District,Public school district.,https://www.nv.k12.wa.us,"","","3326 east badger road","",everson,wa,"98247",fedc532f-863d-4e39-bbd3-116e9ba9efa9,0.5856501460075378,Washington 211
Nooksack Valley School,"","","48.96464",-122.30782,"3326 e badger rd","",everson,wa,"98247",fedc532f-863d-4e39-bbd3-116e9ba9efa9,0.5856501460075378,WithinReach
Unity Care Northwest,"Offers affordable primary care, dental, behavioral health, and pharmacy services for children and adults in Whatcom County.",http://unitycarenw.org,"","","220 unity street","",bellingham,wa,"98225",fedd3950-e5f1-4fc0-92eb-55c0eca8c870,0.42635441535515006,Washington 211
Unity Care NW (Bellingham Health Center),"","","48.753635",-122.47612,"220 unity st","",bellingham,wa,"98225",fedd3950-e5f1-4fc0-92eb-55c0eca8c870,0.42635441535515006,WithinReach
