स्त्रियो,स्त्री
गलती,गलत
अारोपो,अारोप
अधिकारियो,अधिकारी
जिसके,जिस
भारतीय,भारत
नाटकीय,नाटक
डालने,डाल
परिजनो,परिजन
छोड़ने,छोड़
प्रतिनिधियो,प्रतिनिधि
नौकरियों,नौकरी
इर्साइयो,इर्साइ
निंदनीय,निंदा
चुनावो,चुनाव
सकेगी,सके
बैठे,बैठ
अपराधी,अपराध
चढ़ेगा,चढ़
जाएगी,जा
समझ्ािए,समझ
मानवता,मानव
पकड़कर,पकड़
हमारी,हम
प्रचारक,प्रचार
प्रभावित,प्रभाव
राजनीतिक,राजनीति
संभालेगे,संभाल
नेताअाे,नेता
स्थितियो,स्थिति
तलाश्नो,तलाश
रहेगे,रह
संभालने,संभाल
मंत्र्यााेि,मंत्र्ी
बहुमुखी,बहुमुख
रही,रह
महिलाअाे,महिला
असमर्थ्ा,असमर्थ
बनाइर्,बना
संसदीय,संसद
अध्यक्ष्ा,अध्यक्ष
कहा ,कह
मानवाधिकारो,मानवाधिकार
तथ्यो,तथ्य
वासियो,वासी
प्रौद्योगिकी,प्रौद्योगिक
परियोजनाएं,परियोजना
बांटा,बांट
जातियो,जाति
संस्थाअाे,संस्था
पहाड़ियो,पहाड़ी
हेलीकाप्टरो,हेलीकाप्टर
पुष्पो,पुष्प
युवको,युवक
दौड़ाइर्,दौड़
अस्पतालो,अस्पताल
अारोपियो,अारोपी
चिल्लाती,चिल्ला
सर्मथकों,सर्मथक
कंजूसी,कंजूस
वैज्ञ्ाानिकों,वैज्ञ्ाानिक
जाना,जा
हार्मोनो,हार्मोन
पत्र्काारो,पत्र्काार
मालाअाे,माला
पटाख्ो,पटाखा
एजेसियों,एजेसी
सूत्र्ााे,सूत्र
अाश्वासनो,अाश्वासन
अौपचारिकता,अौपचारिक
अध्यक्ष्ताा,अध्यक्ष
असाधारण्ा,असाधारण
तकनीकी,तकनीक
सिफारिश्ााे,सिफारिश
अतिथियों,अतिथि
मौजूदगी,मौजूद
दिवसीय,दिवस
गजलो,गजल
कव्वालियो,कव्वाली
दूतावासो,दूतावास
वाण्ािज्यिक,वाण्ािज्य
अाएगी,अा
प्रतिबद्धता,प्रतिबद्ध
देने,दे
वर्गों,वर्ग
प्रतिष्ठानो,प्रतिष्ठान
पाबंदी,पाबंद
अनुसूचित,अनुसूची
विद्रोहियो,विद्रोह
फलस्तीनी,फलस्तीन
पीड़ितो,पीड़ित
कठिनाइयो,कठिन
राते,रात
गुजारेगे,गुजार
समर्थित,समर्थ
तंबुअाे,तंबु
अाश्वासनो,अाश्वासन
उपनिदेश्का,उपनिदेश्क
प्रासंगिकता,प्रासंगिक
सिफारिश्ााे,सिफारिश
विवरण्ााे,विवरण
वर्गों,वर्ग
असामयिक,असमय
भाइयो,भाइी
ताकतो,ताकत
अखबारो,अखबार
नजरिये,नजर
विद्यार्थियो ,विद्यार्थी
कारण्ााे,कारण
जातियो,जाति
डाक्टरो,डाक्टर
कालेजो,कालेज
सेवाएं,सेवा
प्राथमिकता,प्राथमिक
हड़ताली,हड़ताल
रोगियो,रोगी
सदस्यता,सदस्य
उग्रवादियो,उग्रवादी
उपभोक्ताअाे,उपभोक्ता
टिकटो,टिकट
गुमश्दाुगी,गुमश्दा
निष्कर्षों,निष्कर्ष
सदनो,सदन
सुनी,सुन
बनने,बन
तटों,तट
स्‍थित,स्थित
मंडराने,मंडरा
रखेगी,रख
चलती,चल
श्रृंखलाओं,श्रृंखला
लगते,लग
आने,आ
बचाया,बचा
मैगज़ीन,मैगजीन
खुला,खुल
राइफलें,राइफल
सुनाने,सुना
वास्‍तु,वास्तु
जगहों,जगह
योजनाओं,योजना
ननों,नन
मतभेदों,मतभेद
जुटाने,जुटा
लगाने,लगा
लगे,लग
वस्‍तुएं,वस्तु
निक्‍को,निक्को
घटाने,घटा
जजों,जज
चेताया,चेता
वैज्ञानिकों,वैज्ञानिक
क्षणों,क्षण
आसनों,आसन
उछलकर,उछल
मल्‍लों,मल्ला
पकड़,पकड
स्‍तूप,स्तूप
अफसरों,अफसर
चाहता,चाह
अफरा,अफर
निहारना,निहार
थोड़ा,थोडा
पहुँचाई,पहुँचा
फेंका,फेंक
लगीं,लग
बजती,बज
करवाने,करवा
राजाओं,राजा
टिप्पणियां,टिप्पणी
अस्‍थियों,अस्थि
फेंके,फेंक
कराके,कर
मंदिरों,मंदिर
प्रयासों,प्रयास
टिप्पणियों,टिप्पणी
दिखती,दिख
ऋषियों,ऋषि
मनाया,मना
सदनों,सदन
पहुँचने,पहुँच
मारा,मार
मिले,मिल
दबे,दब
छोड़कर,छोड़
राजनीतिकों,राजनीतिक
अनुभवों,अनुभव
दिए,दे
पत्रकारों,पत्रकार
आरोपियों,आरोपी
भीगकर,भीग
कपड़ों,कपडा
मुलाकातियों,मुलाकाती
महफूज़,महफूज
जानने,जान
रखी,रख
ग्रेडों,ग्रेड
डाले,डाल
बुजुर्गों,बुजुर्ग
मेरी,मैं
छोड़कर,छोड
मानी,मान
यज्ञों,यज्ञ
संस्थाओं,संस्था
करनी,कर
मेरे,मैं
कहे,कह
बढ़ता,बढ
बिछाई,बिछा
फैसलों,फैसला
प्रताड़ना,प्रताडना
उठाते,उठा
फैले,फैल
जलाकर,जला
विषयों,विषय
रोकने,रोक
करूंगा,कर
मुलाजिमों,मुलाजिम
कथाओं,कथा
ट्रेडर्स,ट्रेडर
लहरों,लहर
कंपनियां,कंपनी
महत्‍व,महत्व
जिन्हें,जो
मारने,मार
दिलाएगी,दिला
रहे,रह
देखकर,देख
सरकारों,सरकार
पड़े,पड
आव्रजकों,आव्रजक
पीने,पी
बयानों,बयान
सुनाएगी,सुना
आदिवासियों,आदिवासी
हिदायतें,हिदायत
चयनकर्ताओं,चयनकर्ता
सका,सक
बंदूकों,बंदूक
डालते,डाल
चलाई,चला
हुई,हो
नियुक्तियों,नियुक्ति
बँधी,बँध
चुने,चुन
क्षेत्रों,क्षेत्र
पहनकर,पहन
बी.,बी
लाइनें,लाइन
मिलेगा,मिल
भरे,भर
नीतियों,नीति
आइए,आ
पहुंचे,पहुंच
गुस्साए,गुस्सा
सूअरों,सूअर
कोशिशों,कोशिश
जताते,जता
अटके,अटक
खोलेगा,खोल
परियोजनाएं,परियोजना
इराकियों,इराकी
तत्वों,तत्व
पत्थरों,पत्थर
मिलकर,मिल
सौदों,सौदा
बरती,बरत
पाना,पा
विवादों,विवाद
"1,00,000",100000
उभरे,उभर
जुटाए,जुटा
तथ्यों,तथ्य
डॉक्टरों,डॉक्टर
बरतते,बरत
खरीदने,खरीद
रहेगी,रह
भड़काया,भड़का
सरकारें,सरकार
पड़ेगा,पड़
खोले,खोल
बनाने,बना
माने,मान
चढ़े,चढ़
परिसंपत्तियाँ,परिसंपत्ति
दुष्परिणामों,दुष्परिणाम
एजेंसियों,एजेंसी
स्थानों,स्थान
पकड़ने,पकड
धातुओं,धातु
पौधों,पौधा
पहाड़ी,पहाडी
दर्शनार्थियों,दर्शनार्थी
बिठाने,बिठा
गुफाओं,गुफा
मिलेगी,मिल
कंपनियों,कंपनी
जिन्होंने,जो
पत्‍थर,पत्थर
रोज़गार,रोजगार
मेरा,मैं
देते,दे
कोशिशें,कोशिश
दुकानें,दुकान
मिलते,मिल
दोषियों,दोषी
चारों,चार
छिपा,छिप
पदार्थो,पदार्थ
जोड़ा,जोड
जानी,जा
जोड़कर,जोड़
अपराधियों,अपराधी
सकतीं,सक
मकानों,मकान
किसानों,किसान
परिसरों,परिसर
खींचने,खींच
घरों,घर
सेवाएं,सेवा
वायुसैनिकों,वायुसैनिक
माना,मान
विशिष्‍ट,विशिष्ट
खादों,खाद
फंसे,फँस
बनानी,बना
दिखाया,दिखा
दावेदारों,दावेदार
भागा,भाग
निदेशकों,निदेशक
उपक्रमों,उपक्रम
करते,कर
जेलों,जेल
मांगने,मांग
बेरोजगारों,बेरोजगार
मान्‍यता,मान्यता
दें,दे
लड़कियों,लड़की
लड़,लड
निकला,निकल
भेजी,भेज
विमानों,विमान
करती,कर
ट्रैकों,ट्रैक
जाएं,जा
कराने,करा
शवों,शव
पाये,पा
कराएगी,करा
कराए,करा
मनाएंगे,मना
छिपकर,छिप
घूमने,घूम
रूपों,रूप
पड़ी,पड़
महिलाएं,महिला
दायित्वों,दायित्व
बढ़ेगी,बढ़
विद्रोहियों,विद्रोही
जिसकी,जो
पदार्थों,पदार्थ
करके,कर
अरबों,अरब
सौंपे,सौंप
जिनका,जो
हिस्‍से,हिस्सा
बढ़ाना,बढ़ा
बड़ा,बडा
डालने,डाल
लगाए,लगा
प्रत्यक्षदर्शियों,प्रत्यक्षदर्शी
घटाए,घटा
रुपयों,रुपया
गतिविधियों,गतिविधि
पहुँचें,पहुँच
विज्ञापनों,विज्ञापन
फिजीशियंस,फिजीशियन
जिसने,जो
हमलावरों,हमलावर
यादों,याद
वनों,वन
लेना,ले
जानती,जान
चाहा,चाह
दिलाते,दिला
गुजारनी,गुजार
सुरम्‍य,सुरम्
ठहरें,ठहर
स्‍थान,स्थान
किया,कर
आपत्तियों,आपत्ति
उठाना,उठा
ठुकराए,ठुकरा
लौटने,लौट
भेजने,भेज
शिकायतें,शिकायत
उठाया,उठा
रहेगा,रह
चित्रों,चित्र
याचियों,याची
महिलाओं,महिला
मरने,मर
बनाता,बना
मैंने,मैं
देवताओं,देवता
फटने,फट
बागवानों,बागवान
शहरों,शहर
सड़कों,सडक
बिखेरकर,बिखेर
स्थितियों,स्थिति
ऋणों,ऋण
आशंकाओं,आशंका
देती,दे
दशकों,दशक
चलाया,चला
करों,कर
घुटते,घुट
परिसंपत्तियों,परिसंपत्ति
अटकलें,अटकल
आश्वासनों,आश्वासन
लगने,लग
बढ़ाने,बढा
अर्थों,अर्थ
हिंदुओं,हिंदू
फैला,फैल
रखना,रख
अलापते,अलाप
ज्‍यादा,ज्यादा
समेटे,समेट
प्रस्तावों,प्रस्ताव
घटाया,घटा
कार्यालयों,कार्यालय
होता,हो
देगी,दे
महाजनपदों,महाजनपद
तत्‍कालीन,तत्कालीन
विद्वानों,विद्वान
सेनाओं,सेना
वादों,वादा
रचाई,रचा
जाएगा,जा
क्रॉप्स,क्रॉप
"१०,०००",१००००
निकाली,निकाल
करता,कर
मार्गों,मार्ग
घायलों,घायल
मिलाकर,मिला
सटी,सट
मतों,मत
अभियानों,अभियान
रिलीज़,रिलीज
सकें,सक
अष्‍टधातु,अष्टधातु
बिना,बिन
मरीज़ों,मरीज
जाते,जा
लहरें,लहर
कठिनाईयों,कठिनाई
लगाई,लगा
समर्थकों,समर्थक
बदलते,बदल
कारों,कार
बजे,बज
गोलियाँ,गोली
टूटकर,टूट
निकलीं,निकल
तलाशने,तलाश
दलों,दल
धर्मशालाओं,धर्मशाला
धमाकों,धमाका
कराएगा,करा
विशेषताओं,विशेषता
पूर्वजों,पूर्वज
पड़ने,पड़
वालों,वाला
लड़कियां,लड़की
लगा,लग
हटाने,हटा
बताए,बता
बहनों,बहन
सड़कें,सडक
मस्जिदों,मस्जिद
स्‍टेशन,स्टेशन
उठाई,उठा
प्राथमिकताएं,प्राथमिकता
मुश्किलों,मुश्किल
रहकर,रह
जाय,जा
जिनकी,जो
कपड़े,कपडा
जिसमें,जो
माओवादियों,माओवादी
छपी,छप
मूर्तियाँ,मूर्ति
निकाले,निकाल
कमरों,कमर
पुरुषों,पुरुष
आई,आ
सुलझाने,सुलझा
मानते,मान
लाई,ला
अन्तर्राष्ट्रीय,अंतर्राष्ट्रीय
उड़ाने,उड़ा
खुले,खुल
सुधारने,सुधार
"४,०००",४०००
जीने,जी
ग़ैर,गैर
उपायों,उपाय
चुका,चुक
बदलने,बदल
कहलाएँगे,कहला
आवाजें,आवाज
मची,मच
इजाज़त,इजाजत
ठहाकों,ठहाका
बुलाई,बुला
उपलब्‍ध,उपलब्ध
डिज़ाइन,डिजाइन
लिया,ले
जैसा,जो
मछलियों,मछली
लगाया,लगा
भरा,भर
निकले,निकल
मसलों,मसला
रिपोर्टों,रिपोर्ट
हिलने,हिल
जुड़ी,जुड़
प्रमुखों,प्रमुख
अपनाने,अपना
करेगी,कर
सड़कें,सड़क
होगी,हो
पूर्ववर्तियों,पूर्ववर्ती
तोड़,तोड
चर्चों,चर्च
लड़ने,लड
अच्‍छा,अच्छा
देखता,देख
परिव्राजकों,परिव्राजक
जाएँगे,जा
आया,आ
जाया,जा
सभी,सब
खिड़कियां,खिड़की
बनना,बन
"१६,९०६",१६९०६
नियमों,नियम
मानवशास्त्रियों,मानवशास्त्री
खेतों,खेत
हटने,हट
स्तंभों,स्तंभ
लड़ने,लड़
पैकेजों,पैकेज
विदेशियों,विदेशी
बढ़ाकर,बढ़ा
छेड़े,छेड़
मूल्यों,मूल्य
हटाना,हटा
मांगी,मांग
पाए,पा
मांगे,मांग
समूहों,समूह
झड़पों,झड़प
रहता,रह
मानने,मान
प्रावधानों,प्रावधान
कर्मचारियों,कर्मचारी
रुकी,रुक
होनी,हो
लहराया,लहरा
हटा,हट
दूंगा,दे
संस,सन
निकालना,निकाल
कीमतों,कीमत
लूटने,लूट
जिलों,जिला
होना,हो
खाते,खा
जताई,जता
वसूलने,वसूल
रहते,रह
मंत्रियों,मंत्री
किसे,कौन
छाए,छा
पड़ता,पड़
खिलाफ़,खिलाफ
चुकाने,चुका
स्थलों,स्थल
पहुँचाने,पहुँचा
निकलकर,निकल
झाड़ने,झाड़
पहनने,पहन
लड़कों,लड़का
छाये,छा
जताया,जता
परिस्थितियों,परिस्थिति
हूँ,है
जुड़े,जुड़
चाहती,चाह
छिपी,छिप
वर्षों,वर्ष
लाशों,लाश
कैदियों,कैदी
आँकी,आँक
बढ़ने,बढ़
धर्मावलंबियों,धर्मावलंबी
डूबे,डूब
भरने,भर
खबरें,खबर
आवासों,आवास
देखे,देख
गीतों,गीत
फैलाने,फैला
सौजन्‍य,सौजन्य
चलाने,चला
सालों,साल
हमने,हम
"1,500",1500
भराकर,भरा
उठे,उठ
स्‍वरूप,स्वरूप
दौड़ाकर,दौड़ा
करेंगे,कर
आना,आ
एकतरफा,एक
सकती,सक
पाटने,पाट
संस्थानों,संस्थान
हालात,हाल
बातें,बात
कारनामों,कारनामा
लगाते,लगा
फव्वारों,फव्वारा
बच्चों,बच्चा
एकड़,एकड
करवाकर,कर
रहें,रह
आपकी,आप
पहुँचेगा,पहुँच
कराई,करा
परियोजनाओं,परियोजना
संगठनों,संगठन
उठाएंगे,उठा
हमारे,हम
क़ीमत,कीमत
जाती,जा
डाला,डाल
पाता,पा
साढ़े,साढे
भरेंगे,भर
भागने,भाग
उठा,उठ
भूलीं,भूल
सबके,सब
करूँगी,कर
पहने,पहन
शेयरों,शेयर
प्राप्‍त,प्राप्त
रहेंगी,रह
बढ़ावा,बढावा
गुस्साई,गुस्सा
करवाने,कर
डेढ़,डेढ
बौछारें,बौछार
भांपते,भांप
बनाए,बना
भेजा,भेज
नक़द,नकद
देखना,देख
चलकर,चल
सिखों,सिख
लिखकर,लिख
चुना,चुन
लाएगा,ला
टीमें,टीम
गवाक्षों,गवाक्ष
पाएगी,पा
बलों,बल
छात्रों,छात्र
लिखने,लिख
देना,दे
मोटर्स,मोटर
परखा,परख
रखा,रख
जाने,जा
नज़र,नजर
चलानी,चला
"19,401",19401
बताई,बता
अधिकरणों,अधिकरण
रही,रह
परंपराएं,परंपरा
तीनों,तीन
यादें,याद
मिनटों,मिनट
बौखलाए,बौखला
निकायों,निकाय
महीनों,महीना
लेगी,ले
क़ायम,कायम
भड़की,भडक
खरीदे,खरीद
आकर,आ
कड़े,कडा
नागरिकों,नागरिक
मरीज़,मरीज
कूदने,कूद
टिकी,टिक
रची,रच
लेने,ले
देकर,दे
"१२,८२५",१२८२५
मिलती,मिल
बीते,बीत
हूं,है
घंटियाँ,घंटी
पहुंचा,पहुंच
जरूरतों,जरूरत
भव्‍य,भव्
आएगा,आ
दोनों,दो
मुझे,मैं
उतरेगा,उतर
खोते,खो
बना,बन
संवाददाताओं,संवाददाता
परोसा,परोस
उम्मीदें,उम्मीद
देगा,दे
छिपाने,छिपा
बख्शा,बख्श
मंडियों,मंडी
चीजों,चीज
अंगों,अंग
घटकर,घट
अवरोधों,अवरोध
विस्फोटों,विस्फोट
मनाने,मना
पुलों,पुल
"६५,३००",६५३००
डालकर,डाल
हसरतें,हसरत
रखते,रख
बचने,बच
मारकर,मार
कुचले,कुचल
भारतवासियों,भारतवासी
बरतनी,बरत
ठहरने,ठहर
पूछा,पूछ
प्रतिनिधियों,प्रतिनिधि
निर्यातकों,निर्यातक
निकालने,निकाल
पाएगा,पा
लकड़ी,लकडी
इकाइयों,इकाई
मुलाक़ात,मुलाकात
"६०,३००",६०३००
रहेंगे,रह
सुनेंगे,सुन
उर्वरकों,उर्वरक
न्यायाधीशों,न्यायाधीश
रोका,रोक
दिल्‍ली,दिल्ली
सदियों,सदी
खामियाँ,खामी
अदालतों,अदालत
सैनिकों,सैनिक
जिन,जो
उछाली,उछाल
बनाकर,बना
अभी,अब
डूबने,डूब
जनशिकायतों,जनशिकायत
बताया,बता
स्रोतों,स्रोत
छोड़ी,छोड़
कारतूसों,कारतूस
हितों,हित
मिलेंगी,मिल
गाँवों,गाँव
लाना,ला
हफ्तों,हफ्ता
घिरे,घिर
खोली,खोल
पड़ेगी,पड़
"४,९१०",४९१०
अठखेलियाँ,अठखेली
मूर्तियों,मूर्ति
लपटें,लपट
उबारने,उबार
खुलेंगे,खुल
बदलेगी,बदल
उपकरणों,उपकरण
छेड़ा,छेड़
घटने,घट
व्‍यवस्‍था,व्यवस्था
टाइगर्स,टाइगर
चलता,चल
मिटाया,मिटा
सुने,सुन
दोहराई,दोहरा
बचाने,बचा
लोगों,लोग
देंगे,दे
मतदाताओं,मतदाता
कछुओं,कछुआ
अधिकारों,अधिकार
बातों,बात
लानी,ला
दिखता,दिख
देता,दे
देखेंगे,देख
डॉक्टर्स,डॉक्टर
मामलों,मामला
उकसाया,उकसा
समझा,समझ
बिताने,बिता
खाना,खा
घटकों,घटक
"६३,०००",६३०००
बिगड़,बिगड
कहना,कह
उठती,उठ
पैरों,पैर
वामदलों,वामदल
लटके,लटक
अपनाता,अपना
बढ़े,बढ़
मिलना,मिल
लेकर,ले
भग्‍नावशेष,भग्
चले,चल
खींचता,खींच
तोड़ना,तोड़
बढ़ना,बढ़
बढ़ाया,बढ़ा
"२७,८२८९९",२७८२८९९
पड़,पड
अपनाया,अपना
सुनाई,सुना
रहने,रह
स्मृतियों,स्मृति
जाएंगे,जा
फसलों,फसल
पैकेटों,पैकेट
विस्‍तार,विस्तार
जोड़ने,जोड़
बैठकों,बैठक
सुविधाओं,सुविधा
पहलुओं,पहलू
सांसदों,सांसद
रोकते,रोक
उपभोक्ताओं,उपभोक्ता
रुकने,रुक
बूंदों,बूंद
पाने,पा
मिलने,मिल
सीरीज़,सीरीज
उठाए,उठा
दिल्लीवासियों,दिल्लीवासी
जिसे,जो
जाये,जा
मछलियाँ,मछली
लाया,ला
सीटों,सीट
उत्पादों,उत्पाद
पुलिसकर्मियों,पुलिसकर्मी
चली,चल
बताते,बता
बसें,बस
बनाएगी,बना
मछुआरों,मछुआरा
छोड़े,छोड
खोलने,खोल
उतारकर,उतार
सुना,सुन
झाँकने,झाँक
बुलाने,बुला
महिलाएँ,महिला
पीकर,पी
पापों,पाप
बनेगा,बन
जाने,जान
मौलानाओं,मौलाना
बुलाया,बुला
आतंकियों,आतंकी
सकेगी,सक
तक़नीकी,तकनीकी
बढ़ता,बढ़
नौकरियों,नौकरी
चुनौतियों,चुनौती
दिनों,दिन
कर्मियों,कर्मी
वाशिंदों,वाशिंदा
तोड़ने,तोड
हमारा,हम
जवानों,जवान
बचाई,बचा
पार्टियों,पार्टी
चूके,चूक
मुद्दों,मुद्दा
विशेषज्ञों,विशेषज्ञ
"६,५२१",६५२१
सैलानियों,सैलानी
लगेगा,लग
नुक़सान,नुकसान
सुविधाएं,सुविधा
दिक्कतों,दिक्कत
मिली,मिल
खतरों,खतरा
हाथों,हाथ
पदों,पद
सुरक्षाबलों,सुरक्षाबल
पहुंची,पहुंच
आता,आ
तारों,तार
ट्रेनों,ट्रेन
अंडमानीज,अंडमानी
कहा,कह
करोड़,करोड
जीता,जीत
पाई,पा
जाएँगी,जा
छुट्टियां,छुट्टी
सौंपा,सौंप
चुके,चुक
"७७,०००",७७०००
"55,000",55000
चोटियों,चोटी
हत्याएं,हत्या
लड़ाई,लडाई
किए,कर
थीं,था
गरीबों,गरीब
निभाएँगी,निभा
बनाना,बना
मेजें,मेज
जिससे,जो
जिनमें,जो
बीमारियों,बीमारी
अफवाहें,अफवाह
खुलकर,खुल
भेजे,भेज
स्‍थापत्‍य,स्थापत्य
पाएंगे,पा
जुड़ा,जुड़
बंटे,बंट
करना,कर
होती,हो
होते,हो
धर्मों,धर्म
आरोपों,आरोप
"२७,६००",२७६००
करें,कर
स्‍थानों,स्थान
यही,यह
झेलने,झेल
जिसका,जो
भिक्षुओं,भिक्षु
नियंत्रकों,नियंत्रक
हों,है
रहा,रह
यात्राएं,यात्रा
टहलीं,टहल
जानते,जान
आए,आ
पड़े,पड़
बीतने,बीत
पहुंचने,पहुंच
किसी,कोई
निभाने,निभा
उठाएं,उठा
संस्‍था,संस्था
मिला,मिल
तड़के,तडके
मालों,माल
गिराने,गिरा
गड़बड़ियाँ,गडबडी
यात्रियों,यात्री
अड्डों,अड्डा
मिटाने,मिटा
पहुँचा,पहुँच
चलतीं,चल
कल्पनाओं,कल्पना
मिलता,मिल
राजधानियों,राजधानी
आयोजकों,आयोजक
दिशाओं,दिशा
लेता,ले
निपटने,निपट
जगे,जग
व्यक्तियों,व्यक्ति
जूझना,जूझ
भत्तों,भत्ता
कार्यों,कार्य
अनेकों,अनेक
पत्‍थरों,पत्थर
निर्देशों,निर्देश
अधिकारियों,अधिकारी
देने,दे
बढ़ी,बढ़
बहने,बह
अटकलों,अटकल
रखने,रख
दिखाई,दिख
पहचानने,पहचान
घूमा,घूम
हथियारों,हथियार
कार्यकर्ताओं,कार्यकर्ता
थपथपाकर,थपथपा
सकता,सक
ठगा,ठग
मातृकाएँ,मातृका
सुनने,सुन
जाएगी,जा
बताने,बता
दंगों,दंग
भस्‍मों,भस्म
बांधना,बांध
आपका,आप
धरने,धर
हुए,हो
दरों,दर
भुगतने,भुगत
संभावनाएं,संभावना
पहनना,पहन
लिखा,लिख
जाएंगी,जा
करने,कर
चुकी,चुक
होकर,हो
सबको,सब
इलाकों,इलाका
रहती,रह
दिखाता,दिखा
करे,कर
घटाकर,घटा
पाते,पा
सटे,सट
उग्रवादियों,उग्रवादी
शिकायतों,शिकायत
देखी,देख
श्रद्धालुओं,श्रद्धालु
रहीं,रह
जिसके,जो
चलने,चल
सपनों,सपना
अल्पसंख्यकों,अल्पसंख्यक
साथियों,साथी
अस्पतालों,अस्पताल
चट्टानों,चट्टान
लहराते,लहरा
संभाले,संभाल
लाने,ला
शर्तो,शर्त
खाद्यान्नों,खाद्यान्न
श्रमिकों,श्रमिक
वाकआउट,वाक
सुनाया,सुना
मज़हबी,मजहबी
जिस,जो
मुनियों,मुनि
संसाधनों,संसाधन
बनती,बन
