स्त्रियो,स्त्री
गलती,गलत
अारोपो,अारोप
अधिकारियो,अधिकारी
जिसके,जिस
भारतीय,भारत
नाटकीय,नाटक
डालने,डाल
परिजनो,परिजन
छोड़ने,छोड़
प्रतिनिधियो,प्रतिनिधि
नौकरियों,नौकरी
इर्साइयो,इर्साइ
निंदनीय,निंदा
चुनावो,चुनाव
सकेगी,सके
बैठे,बैठ
अपराधी,अपराध
चढ़ेगा,चढ़
जाएगी,जा
समझ्ािए,समझ
मानवता,मानव
पकड़कर,पकड़
हमारी,हम
प्रचारक,प्रचार
प्रभावित,प्रभाव
राजनीतिक,राजनीति
संभालेगे,संभाल
नेताअाे,नेता
स्थितियो,स्थिति
तलाश्नो,तलाश
रहेगे,रह
संभालने,संभाल
मंत्र्यााेि,मंत्र्ी
बहुमुखी,बहुमुख
रही,रह
महिलाअाे,महिला
असमर्थ्ा,असमर्थ
बनाइर्,बना
संसदीय,संसद
अध्यक्ष्ा,अध्यक्ष
कहा ,कह
मानवाधिकारो,मानवाधिकार
तथ्यो,तथ्य
वासियो,वासी
प्रौद्योगिकी,प्रौद्योगिक
परियोजनाएं,परियोजना
बांटा,बांट
जातियो,जाति
संस्थाअाे,संस्था
पहाड़ियो,पहाड़ी
हेलीकाप्टरो,हेलीकाप्टर
पुष्पो,पुष्प
युवको,युवक
दौड़ाइर्,दौड़
अस्पतालो,अस्पताल
अारोपियो,अारोपी
चिल्लाती,चिल्ला
सर्मथकों,सर्मथक
कंजूसी,कंजूस
वैज्ञ्ाानिकों,वैज्ञ्ाानिक
जाना,जा
हार्मोनो,हार्मोन
पत्र्काारो,पत्र्काार
मालाअाे,माला
पटाख्ो,पटाखा
एजेसियों,एजेसी
सूत्र्ााे,सूत्र
अाश्वासनो,अाश्वासन
अौपचारिकता,अौपचारिक
अध्यक्ष्ताा,अध्यक्ष
असाधारण्ा,असाधारण
तकनीकी,तकनीक
सिफारिश्ााे,सिफारिश
अतिथियों,अतिथि
मौजूदगी,मौजूद
दिवसीय,दिवस
गजलो,गजल
कव्वालियो,कव्वाली
दूतावासो,दूतावास
वाण्ािज्यिक,वाण्ािज्य
अाएगी,अा
प्रतिबद्धता,प्रतिबद्ध
देने,दे
वर्गों,वर्ग
प्रतिष्ठानो,प्रतिष्ठान
पाबंदी,पाबंद
अनुसूचित,अनुसूची
विद्रोहियो,विद्रोह
फलस्तीनी,फलस्तीन
पीड़ितो,पीड़ित
कठिनाइयो,कठिन
राते,रात
गुजारेगे,गुजार
समर्थित,समर्थ
तंबुअाे,तंबु
अाश्वासनो,अाश्वासन
उपनिदेश्का,उपनिदेश्क
प्रासंगिकता,प्रासंगिक
सिफारिश्ााे,सिफारिश
विवरण्ााे,विवरण
वर्गों,वर्ग
असामयिक,असमय
भाइयो,भाइी
ताकतो,ताकत
अखबारो,अखबार
नजरिये,नजर
विद्यार्थियो ,विद्यार्थी
कारण्ााे,कारण
जातियो,जाति
डाक्टरो,डाक्टर
कालेजो,कालेज
सेवाएं,सेवा
प्राथमिकता,प्राथमिक
हड़ताली,हड़ताल
रोगियो,रोगी
सदस्यता,सदस्य
उग्रवादियो,उग्रवादी
उपभोक्ताअाे,उपभोक्ता
टिकटो,टिकट
गुमश्दाुगी,गुमश्दा
निष्कर्षों,निष्कर्ष
सदनो,सदन
राजाओं,राजा
बनाया,बना
सुने,सुन
कार्यालयों,कार्यालय
मामलों,मामला
मशीनों,मशीन
अफवाहें,अफवाह
भांपते,भांप
पशुओं,पशु
लेकर,ले
श्रमिकों,श्रमिक
पाए,पा
देंगे,दे
धातुओं,धातु
पूर्ववर्तियों,पूर्ववर्ती
शवों,शव
सूअरों,सूअर
क्रॉप्स,क्रॉप
दिखती,दिख
जुटाने,जुटा
कहना,कह
बनने,बन
जाए,जा
जैसा,जो
मुलाक़ात,मुलाकात
गीतों,गीत
खबरें,खबर
नामों,नाम
पायलेटों,पायलेट
पाते,पा
चुका,चुक
बनीं,बन
करते,कर
धर्मशालाओं,धर्मशाला
बलों,बल
उतारे,उतार
अपनाता,अपना
उठाई,उठा
मंदिरों,मंदिर
लिखकर,लिख
खिड़कियां,खिड़की
ठहरें,ठहर
खोलेगा,खोल
तोड़ना,तोड़
रखे,रख
बदलते,बदल
बोले,बोल
थपथपाकर,थपथपा
बयानों,बयान
बिखरे,बिखर
पड़े,पड
मिलती,मिल
पाएगी,पा
रचाई,रचा
चलाने,चला
कहने,कह
द्रविड़,द्रविड
झाड़ने,झाड़
खोली,खोल
वसूलने,वसूल
डलवाने,डलवा
देवताओं,देवता
मसलों,मसला
पत्थरों,पत्थर
मानवशास्त्रियों,मानवशास्त्री
हितों,हित
घूमने,घूम
भस्‍मों,भस्म
लौटकर,लौट
कागजों,कागज
बढ़ाना,बढ़ा
आँकी,आँक
झरनों,झरना
पूर्वजों,पूर्वज
चित्रों,चित्र
पापों,पाप
घटाने,घटा
लगाने,लगा
हिलने,हिल
करों,कर
दें,दे
रहता,रह
करवाकर,कर
इराकियों,इराकी
पड़ेगा,पड़
शिकायतें,शिकायत
नियंत्रकों,नियंत्रक
बेरोजगारों,बेरोजगार
अधिकरणों,अधिकरण
मार्गों,मार्ग
सिफारिशों,सिफारिश
खोते,खो
लेंगे,ले
जंगलों,जंगल
होनी,हो
दोषियों,दोषी
एकड़,एकड
हत्याएं,हत्या
कारों,कार
आतंकियों,आतंकी
तोड़,तोड
रखेगी,रख
संस्थानों,संस्थान
जूझना,जूझ
देखने,देख
कूदने,कूद
पड़ती,पड़
परिव्राजकों,परिव्राजक
स्‍थान,स्थान
मारा,मार
किश्तों,किश्त
सुनाएगी,सुना
सबको,सब
किसे,कौन
भरी,भर
बातें,बात
जरूरतों,जरूरत
"१२,८२५",१२८२५
गुस्साए,गुस्सा
पाटने,पाट
स्‍वरूप,स्वरूप
उर्वरकों,उर्वरक
"१०,०००",१००००
मिटाने,मिटा
चोटियों,चोटी
चुनौतियों,चुनौती
सुरक्षाबलों,सुरक्षाबल
धमाकों,धमाका
मिली,मिल
उतारकर,उतार
जीने,जी
आने,आ
लिखा,लिख
ट्रैकों,ट्रैक
अधिकारियों,अधिकारी
देगी,दे
कमरों,कमर
रुकी,रुक
रहना,रह
देखना,देख
पहुंची,पहुंच
महफूज़,महफूज
"1,00,000",100000
डॉक्टर्स,डॉक्टर
हालात,हाल
रखते,रख
भूलीं,भूल
समुदायों,समुदाय
आरोपियों,आरोपी
वायुसैनिकों,वायुसैनिक
डालकर,डाल
जलाकर,जला
सरकारें,सरकार
परिजनों,परिजन
करेंगी,कर
रखा,रख
कार्यो,कार्य
देखा,देख
गड़बड़ियाँ,गडबडी
पहुंचा,पहुंच
टिप्पणियां,टिप्पणी
एकतरफा,एक
हमारा,हम
मारे,मार
मनाया,मना
ध्‍यान,ध्यान
क्षणों,क्षण
घटाकर,घटा
कहलाएँगे,कहला
दुकानें,दुकान
मेरी,मैं
सबके,सब
घंटियाँ,घंटी
विदेशों,विदेश
हमारे,हम
बनानी,बना
कहते,कह
उठती,उठ
बने,बन
अफरा,अफर
बरती,बरत
पड़े,पड़
मानकों,मानक
हफ्तों,हफ्ता
फैलाने,फैला
खामियाँ,खामी
दावेदारों,दावेदार
निकाली,निकाल
वारदातों,वारदात
लगती,लग
गुस्साई,गुस्सा
बढ़ने,बढ़
दोहराई,दोहरा
उठे,उठ
श्रद्धालुओं,श्रद्धालु
उम्मीदें,उम्मीद
संभाले,संभाल
लहरों,लहर
हाथों,हाथ
बुजुर्गों,बुजुर्ग
चुके,चुक
कुचले,कुचल
मिला,मिल
विशेषताओं,विशेषता
करोड़,करोड
होने,हो
मशीनें,मशीन
ग्रेडों,ग्रेड
परंपराएं,परंपरा
पुलों,पुल
"६३,०००",६३०००
सुविधाएं,सुविधा
प्रमुखों,प्रमुख
लानी,ला
अल्पसंख्यकों,अल्पसंख्यक
काब़िज़,काबिज
रिश्तेदारों,रिश्तेदार
निष्कर्षों,निष्कर्ष
भिक्षुओं,भिक्षु
देखी,देख
कड़े,कडा
जाएं,जा
बरतने,बरत
बरतते,बरत
पक्षों,पक्ष
पुलिसकर्मियों,पुलिसकर्मी
जिलों,जिला
दिशाओं,दिशा
इकाइयों,इकाई
मतों,मत
करवाने,कर
सुनाई,सुना
खंडों,खंड
उछलकर,उछल
पाई,पा
बचने,बच
चलाई,चला
सीरीज़,सीरीज
जेलों,जेल
विशेषज्ञों,विशेषज्ञ
तटों,तट
शिकायतों,शिकायत
बढ़ता,बढ
व्यापारियों,व्यापारी
छोड़कर,छोड़
नेताओं,नेता
खाद्यान्नों,खाद्यान्न
खिसकती,खिसक
मौलानाओं,मौलाना
जोड़कर,जोड़
दबे,दब
छपी,छप
बांधना,बांध
चैत्‍य,चैत्य
जाएंगे,जा
बनाते,बना
हजारों,हजार
कहे,कह
संभावनाओं,संभावना
खींचता,खींच
लाशों,लाश
मानते,मान
सकता,सक
प्राथमिकताएं,प्राथमिकता
खतरों,खतरा
जिसे,जो
लगते,लग
निकलकर,निकल
दमकलकर्मियों,दमकलकर्मी
यही,यह
गड़बड़ाए,गडबडा
दर्शाती,दर्शा
इलाकों,इलाका
उबारने,उबार
रहा,रह
रोज़गार,रोजगार
बंदूकों,बंदूक
बनाये,बना
डेढ़,डेढ
मारकर,मार
सदियों,सदी
जिसकी,जो
गरीबों,गरीब
जंक्‍शन,जंक्शन
अटकलें,अटकल
नियमों,नियम
लड़,लड
भीड़,भीड
हुए,हो
भरने,भर
खेतों,खेत
मतदाताओं,मतदाता
टाइगर्स,टाइगर
उठा,उठ
मैंने,मैं
चीजों,चीज
चला,चल
प्रत्यक्षदर्शियों,प्रत्यक्षदर्शी
तोड़ने,तोड
किए,कर
हटाना,हटा
करना,कर
मिनटों,मिनट
देखता,देख
निकलने,निकल
ढूंढ़ने,ढूंढ़
उकसाया,उकसा
हमें,हम
कोनों,कोना
गुफाओं,गुफा
आव्रजकों,आव्रजक
जगे,जग
होगा,हो
आते,आ
सकतीं,सक
छिपकर,छिप
चर्चाएं,चर्चा
"४,९१०",४९१०
पत्‍थरों,पत्थर
"५,२९३",५२९३
घायलों,घायल
दूंगा,दे
निकले,निकल
नौकरियों,नौकरी
वाकआउट,वाक
बढ़ाने,बढ़ा
माना,मान
जाएँगे,जा
कठिनाइयों,कठिनाई
निकाले,निकाल
अटकलों,अटकल
सौंपा,सौंप
करूंगा,कर
वनों,वन
छिपी,छिप
बरतनी,बरत
मुझे,मैं
समूहों,समूह
गुजारने,गुजार
बनेगा,बन
अरबों,अरब
रखता,रख
होकर,हो
टहलीं,टहल
बड़ा,बडा
पड़,पड
योजनाओं,योजना
सांसदों,सांसद
लड़कों,लड़का
लाये,ला
फंसे,फँस
पार्टियों,पार्टी
चट्टानों,चट्टान
खींचने,खींच
जगहों,जगह
लगाई,लगा
विवादों,विवाद
फैलाकर,फैला
भड़कने,भडक
बनती,बन
बहने,बह
ननों,नन
प्रावधानों,प्रावधान
देता,दे
पहुँचाई,पहुँचा
बनाता,बना
खुलकर,खुल
माओवादियों,माओवादी
लहरें,लहर
जिसमें,जो
मंत्रियों,मंत्री
छात्रों,छात्र
मानी,मान
बना,बन
पहुँचें,पहुँच
सेवाओं,सेवा
प्रताड़ना,प्रताडना
खोलकर,खोल
सुना,सुन
सकते,सक
हटा,हट
मूर्तियों,मूर्ति
सलाहों,सलाह
ठहरने,ठहर
बनाए,बना
परोसा,परोस
गवाक्षों,गवाक्ष
कहती,कह
जाएँगी,जा
छाए,छा
जाएगा,जा
दौड़ाकर,दौड़ा
बहा,बह
करेंगे,कर
देती,दे
देगा,दे
बच्चों,बच्चा
फिल्मों,फिल्म
डाला,डाल
प्राप्‍त,प्राप्त
आरोपों,आरोप
कोशिशों,कोशिश
कार्रवाईयां,कार्रवाई
सीटों,सीट
राजधानियों,राजधानी
बढ़े,बढ़
लिए,ले
जनशिकायतों,जनशिकायत
बनाकर,बना
आइए,आ
लूटने,लूट
परंपराओं,परंपरा
फैसलों,फैसला
महिलाएँ,महिला
छुट्टियां,छुट्टी
सौदों,सौदा
दिया,दे
जाएगी,जा
आपका,आप
अर्थों,अर्थ
डाली,डाल
केंद्रों,केंद्र
मछुआरों,मछुआरा
चलतीं,चल
लकड़ी,लकडी
दुकानदारों,दुकानदार
एजेंसियों,एजेंसी
दिनों,दिन
पुरातत्‍ववेत्‍ता,पुरातत्ववेत्ता
जोड़ने,जोड़
बढ़ती,बढ
भागने,भाग
अष्‍टधातु,अष्टधातु
घटाया,घटा
टिप्पणियों,टिप्पणी
निकालना,निकाल
मुस्लिमों,मुस्लिम
यादें,याद
बचाई,बचा
मरने,मर
उग्रवादियों,उग्रवादी
लाएगा,ला
कर्मचारियों,कर्मचारी
देखते,देख
मछलियों,मछली
दिक्कतों,दिक्कत
मछलियाँ,मछली
गाड़ियां,गाड़ी
ठहरे,ठहर
आयोजकों,आयोजक
भरेंगे,भर
पैरों,पैर
कर्मियों,कर्मी
भेजी,भेज
चलकर,चल
वास्‍तु,वास्तु
उछाली,उछाल
जाये,जा
बदलने,बदल
चलती,चल
खींचना,खींच
वस्‍तुएं,वस्तु
कोशिशें,कोशिश
भागा,भाग
कराया,करा
लाइनें,लाइन
आशंकाओं,आशंका
जाना,जान
बताने,बता
बीमारियों,बीमारी
चुकी,चुक
चूके,चूक
डालिए,डाल
कही,कह
ट्रेनों,ट्रेन
लगाया,लगा
सुविधाएँ,सुविधा
समस्याओं,समस्या
नज़र,नजर
श्रृंखलाओं,श्रृंखला
जुटाए,जुटा
चाहते,चाह
लाखों,लाख
"55,000",55000
भागे,भाग
लाएगी,ला
डॉक्टरों,डॉक्टर
मेरे,मैं
अलापते,अलाप
जिसका,जो
लोगों,लोग
हमलों,हमला
मुनियों,मुनि
मानना,मान
बांटा,बांट
पहने,पहन
परियोजनाएं,परियोजना
सैनिकों,सैनिक
सौंपे,सौंप
दिए,दे
पैकेटों,पैकेट
संगठनों,संगठन
बढ़ेगी,बढ़
घुटते,घुट
मान्‍यता,मान्यता
उत्पादों,उत्पाद
बताई,बता
चढ़े,चढ़
दिखाया,दिखा
बुलाकर,बुला
संस्‍कार,संस्कार
होटलों,होटल
पहचानने,पहचान
स्‍थित,स्थित
रुपयों,रुपया
लगीं,लग
पर्यटकों,पर्यटक
"४,०००",४०००
साढ़े,साढे
करता,कर
बसें,बस
रिलीज़,रिलीज
छाये,छा
घरों,घर
रहने,रह
अनेकों,अनेक
देते,दे
संस्‍था,संस्था
आसनों,आसन
बढ़ाकर,बढ़ा
निहारना,निहार
पत्रकारों,पत्रकार
बजती,बज
तत्‍कालीन,तत्कालीन
शर्तो,शर्त
पकड़,पकड
बनाएगी,बना
यात्राएं,यात्रा
राजनीतिकों,राजनीतिक
लगे,लग
पत्‍थर,पत्थर
निक्‍को,निक्को
हूं,है
विज्ञापनों,विज्ञापन
कहा,कह
नक्सलियों,नक्सली
परखा,परख
पैकेजों,पैकेज
हमने,हम
"19,401",19401
स्‍थानों,स्थान
व्यक्तियों,व्यक्ति
लगेंगे,लग
खोले,खोल
अपराधियों,अपराधी
संप्रदायों,संप्रदाय
साथियों,साथी
रोकते,रोक
घूमा,घूम
खादों,खाद
लपटें,लपट
छोड़े,छोड
बिगड़,बिगड
दिलाया,दिला
सुविधाओं,सुविधा
जिसके,जो
"१६,९०६",१६९०६
हिदायतें,हिदायत
रही,रह
दंगों,दंगा
खुलती,खुल
"१४,५००",१४५००
पाये,पा
खुलेंगे,खुल
देनी,दे
विदेशियों,विदेशी
बनना,बन
चुने,चुन
भड़की,भडक
"६०,३००",६०३००
जाकर,जा
सटी,सट
ठगा,ठग
उपकरणों,उपकरण
सिखों,सिख
लड़कियां,लड़की
उपायों,उपाय
बुलाने,बुला
क्षेत्रों,क्षेत्र
बढ़ना,बढ़
कैंपों,कैंप
छेड़े,छेड़
सुनाया,सुना
करें,कर
बीते,बीत
बड़ी,बडा
सदनों,सदन
फैले,फैल
विमानों,विमान
बौछारें,बौछार
जलकर,जल
होती,हो
आपके,आप
आपत्तियों,आपत्ति
भराकर,भरा
आवाजें,आवाज
बंदिशें,बंदिश
उठाया,उठा
डाले,डाल
स्‍तूप,स्तूप
हूँ,है
अंकों,अंक
पीपुल्स,पीपुल
"5,000",5000
जिनकी,जो
जुड़े,जुड़
परिसरों,परिसर
कार्यों,कार्य
"६,५२१",६५२१
भारतवासियों,भारतवासी
निकालने,निकाल
नागरिकों,नागरिक
चारों,चार
बौखलाए,बौखला
जानते,जान
दलों,दल
मस्जिदों,मस्जिद
दर्शनार्थियों,दर्शनार्थी
मालों,माल
वही,वह
"२७,६००",२७६००
मरीज़,मरीज
सवालों,सवाल
कल्पनाओं,कल्पना
परिस्थितियों,परिस्थिति
कछुओं,कछुआ
जुड़ा,जुड़
खरीदे,खरीद
खरीदने,खरीद
ताकता,ताक
जड़ें,जड़
आता,आ
सटे,सट
जिन्होंने,जो
छोड़ी,छोड़
कथाओं,कथा
जिनको,जो
कराना,करा
करनी,कर
यादों,याद
पहनना,पहन
निकायों,निकाय
डालने,डाल
घटकर,घट
खाते,खा
देखेंगे,देख
महाजनपदों,महाजनपद
पहुंचने,पहुंच
सपनों,सपना
पाना,पा
प्रस्तावों,प्रस्ताव
जाएंगी,जा
घटाए,घटा
बंटे,बंट
लगाकर,लगा
उतरेगा,उतर
बँधी,बँध
निभाएँगी,निभा
रहीं,रह
संघर्षो,संघर्ष
आया,आ
मिलने,मिल
आएगा,आ
चलाया,चला
सुरम्‍य,सुरम्
लेनी,ले
गेंदबाजों,गेंदबाज
भवें,भौं
सुनेंगे,सुन
लगने,लग
स्थलों,स्थल
स्थितियों,स्थिति
सुनी,सुन
सौजन्‍य,सौजन्य
फोड़कर,फोड़
स्मृतियों,स्मृति
फेंका,फेंक
"३३,४८२",३३४८२
जुड़ी,जुड़
चुना,चुन
बहनों,बहन
पड़ा,पड़
उठाएं,उठा
अस्‍थियों,अस्थि
वाशिंदों,वाशिंदा
पाएंगे,पा
बताते,बता
पहुँचा,पहुँच
बढ़ावा,बढावा
लहराया,लहरा
करे,कर
लिखता,लिख
अभी,अब
मेजें,मेज
झाँकने,झाँक
झड़पों,झड़प
जजों,जज
चुनावों,चुनाव
फेंके,फेंक
रखना,रख
मानने,मान
बढ़ता,बढ़
देने,दे
नुक़सान,नुकसान
बढ़ाया,बढ़ा
कंपनियां,कंपनी
पौने,पौन
पहुंचे,पहुंच
जिससे,जो
पहुँचने,पहुँच
पकड़ने,पकड
मोटर्स,मोटर
लगाते,लगा
बख्शा,बख्श
व्‍यवस्‍था,व्यवस्था
मनाएंगे,मना
भरा,भर
उठाएंगे,उठा
घटकों,घटक
तत्वों,तत्व
लाइनों,लाइन
चले,चल
घिरे,घिर
मंडियों,मंडी
पदों,पद
होगी,हो
छिपा,छिप
बंधा,बँध
सके,सक
पहलुओं,पहलू
गाँवों,गाँव
मुठभेड़,मुठभेड
विष्‍णु,विष्णु
चेताया,चेता
न्यायाधीशों,न्यायाधीश
अनुभवों,अनुभव
झेलने,झेल
यात्रियों,यात्री
जाना,जा
दिखाई,दिखा
सैलानियों,सैलानी
कारणों,कारण
जाने,जा
ठहराया,ठहरा
जिनका,जो
बुलाया,बुला
करने,कर
मिले,मिल
लाया,ला
चलने,चल
परियोजनाओं,परियोजना
मूल्यों,मूल्य
लहराते,लहरा
विचारों,विचार
किया,कर
वामदलों,वामदल
बढ़ोतरी,बढोतरी
सका,सक
जानने,जान
हुई,हो
भड़काने,भड़का
विद्यार्थियों,विद्यार्थी
अधिकारों,अधिकार
कराके,कर
खाना,खा
हटने,हट
बेचने,बेच
होना,हो
डूबने,डूब
उपलब्‍ध,उपलब्ध
अंडमानीज,अंडमानी
वैज्ञानिकों,वैज्ञानिक
उड़ाने,उड़ा
आई,आ
बढ़ाने,बढा
रोकने,रोक
लाना,ला
बी.,बी
पाएगा,पा
जोरों,जोर
लगी,लग
गतिविधियों,गतिविधि
जोड़ा,जोड
शहरों,शहर
घटने,घट
विद्वानों,विद्वान
दशकों,दशक
सिक्‍के,सिक्
सरकारों,सरकार
सुनने,सुन
सकेगा,सक
पड़ने,पड़
पहुँचाने,पहुँचा
करूँगी,कर
यज्ञों,यज्ञ
योजनाएं,योजना
जिसने,जो
स्रोतों,स्रोत
फसलों,फसल
बनाना,बना
लेने,ले
नक़द,नकद
दिल्‍ली,दिल्ली
चुकाने,चुका
आदिवासियों,आदिवासी
विस्फोटों,विस्फोट
वादों,वादा
कपड़ों,कपडा
निकाला,निकाल
मनाने,मना
पालिकाओं,पालिका
डूबे,डूब
पहाड़ी,पहाडी
दिखा,दिख
मिलकर,मिल
मल्‍लों,मल्ला
संसाधनों,संसाधन
किसी,कोई
धातुएं,धातु
लौटने,लौट
दुकानों,दुकान
संस्थाओं,संस्था
आपकी,आप
"६५,३००",६५३००
बढ़ा,बढा
जाते,जा
देकर,दे
दुर्भावनाओं,दुर्भावना
रखी,रख
बीतने,बीत
मिटाया,मिटा
होता,हो
बुलाई,बुला
पौधों,पौधा
हैं,है
भग्‍नावशेष,भग्
रहकर,रह
लाने,ला
धरने,धर
दरों,दर
मतभेदों,मतभेद
कीमतों,कीमत
सुनाने,सुना
हसरतें,हसरत
मुलाकातियों,मुलाकाती
हिंदुओं,हिंदू
खिलाफ़,खिलाफ
जीता,जीत
उभरे,उभर
सकेगी,सक
अस्पतालों,अस्पताल
पीने,पी
अन्तर्राष्ट्रीय,अंतर्राष्ट्रीय
मिलेंगी,मिल
जानती,जान
मेरा,मैं
रहेंगे,रह
उठाना,उठा
मांगने,मांग
कठिनाईयों,कठिनाई
सौंपेंगे,सौंप
वर्षों,वर्ष
जाय,जा
स्तंभों,स्तंभ
हथियारों,हथियार
ग़ैर,गैर
किये,कर
चलता,चल
हों,है
मांगे,मांग
निर्देशों,निर्देश
अनियमितताओं,अनियमितता
निपटाया,निपटा
पाता,पा
भड़काया,भड़का
इजाज़त,इजाजत
रहेंगी,रह
दिखता,दिख
बढ़ती,बढ़
मूर्तियाँ,मूर्ति
ठुकराए,ठुकरा
किसानों,किसान
छोड़कर,छोड
लगाए,लगा
लिया,ले
लेगी,ले
बढ़ी,बढ़
मछुआरों,मछुआर
सूत्रों,सूत्र
फिजीशियंस,फिजीशियन
उपक्रमों,उपक्रम
जमाया,जमा
तकनीकों,तकनीक
जाया,जा
गोलियाँ,गोली
संस,सन
फव्वारों,फव्वारा
लेते,ले
जताया,जता
करती,कर
आए,आ
गढ़,गढ
दीवारों,दीवार
सकती,सक
दिल्लीवासियों,दिल्लीवासी
जिस,जो
निभाने,निभा
संबंधों,संबंध
चली,चल
रहेगी,रह
बिताने,बिता
जोड़कर,जोड
अदालतों,अदालत
निभाएंगे,निभा
बढ़ने,बढ
पाने,पा
खुला,खुल
रहे,रह
लेना,ले
छेड़ा,छेड़
सकी,सक
अटके,अटक
कराने,करा
जिन,जो
लाई,ला
रोका,रोक
दरें,दर
छिपाने,छिपा
जाता,जा
सकें,सक
पूछने,पूछ
अपनाया,अपना
महत्‍व,महत्व
लौटाना,लौटा
फटने,फट
भेजे,भेज
मिलेगा,मिल
कारनामों,कारनामा
जाती,जा
टिकी,टिक
बनाने,बना
"1,500",1500
रहते,रह
भुगतने,भुगत
